id,store_id,timestamp,flavour_id,price_in_pence
1,S004,2024-06-01 11:47:08,1,390
2,S003,2024-06-01 10:00:05,10,466
3,S001,2024-06-01 13:59:44,9,351
4,S009,2024-06-01 13:53:21,1,331
5,S011,2024-06-01 12:29:22,2,297
6,S002,2024-06-01 13:08:59,12,485
7,S012,2024-06-01 13:55:02,10,348
8,S003,2024-06-01 12:29:29,4,301
9,S012,2024-06-01 13:45:44,6,357
10,S006,2024-06-01 11:17:24,9,375
11,S008,2024-06-01 14:45:49,11,416
12,S011,2024-06-01 10:27:58,7,387
13,S011,2024-06-01 12:33:58,4,505
14,S005,2024-06-01 13:09:47,4,537
15,S013,2024-06-01 16:42:08,6,362
16,S002,2024-06-01 13:32:50,2,328
17,S013,2024-06-01 13:07:35,7,-489
18,S004,2024-06-01 14:10:49,11,524
19,S014,2024-06-01 09:19:46,3,482
20,S006,2024-06-01 14:57:19,9,304
21,S007,2024-06-01 14:14:34,3,441
22,S001,2024-06-01 12:57:07,10,415
23,S010,2024-06-01 11:46:36,4,279
24,S016,2024-06-01 14:15:08,2,522
25,S006,2024-06-01 14:58:27,5,520
26,S007,2024-06-01 12:34:42,12,409
27,S015,01/06/2024 11:40:21,2,376
28,S008,2024-06-01 09:28:45,10,362
29,S002,2024-06-01 13:03:17,6,286
30,S005,2024-06-01 13:19:15,12,542
31,S007,2024-06-01 13:41:22,2,299
32,S002,2024-06-01 10:23:46,11,300
33,S008,2024-06-01 13:08:08,4,347
34,S008,2024-06-01 14:31:54,2,476
35,S001,2024-06-01 11:18:31,2,371
36,S002,2024-06-01 09:15:24,3,444
37,S015,2024-06-01 13:53:46,5,466
38,S016,2024-06-01 12:04:03,3,347
39,S011,2024-06-01 13:21:32,1,275
40,S002,2024-06-01 14:49:04,9,291
41,S008,2024-06-01 15:37:36,7,311
42,S003,2024-06-01 13:16:20,7,548
43,S011,2024-06-01 12:33:42,4,385
44,S003,2024-06-01 13:31:36,1,484
45,S007,2024-06-01 11:03:22,9,385
46,S012,2024-06-01 12:44:34,5,330
47,S001,2024-06-01 12:05:42,11,533
48,S009,2024-06-01 14:07:09,2,304
49,S011,2024-06-01 13:01:16,4,385
50,S003,01/06/2024 14:39:02,11,466
51,S005,2024-06-01 11:16:28,11,384
52,S001,2024-06-01 15:40:44,2,288
53,S012,01/06/2024 11:10:08,10,532
54,S012,2024-06-01 11:35:15,1,433
55,S014,2024-06-01 15:27:15,10,329
56,S006,2024-06-01 11:23:59,7,262
57,S008,2024-06-01 14:23:06,5,331
58,S016,2024-06-01 14:34:29,4,352
59,S008,2024-06-01 13:42:25,4,262
60,S009,2024-06-01 12:34:53,6,510
61,S004,01/06/2024 13:20:16,5,341
62,S014,2024-06-01 12:44:32,6,410
63,S007,2024-06-01 13:56:00,5,272
64,S007,2024-06-01 10:29:42,6,470
65,S004,2024-06-01 13:01:42,12,403
66,S010,2024-06-01 11:28:42,9,315
67,S006,2024-06-01 12:06:35,10,541
68,S007,2024-06-01 13:27:20,7,546
69,S007,2024-06-01 14:25:50,9,492
70,S010,2024-06-01 10:43:48,9,421
71,S007,2024-06-01 10:12:30,3,262
72,S015,2024-06-01 11:29:44,7,544
73,S005,2024-06-01 15:08:55,11,252
74,S014,2024-06-01 14:29:44,4,340
75,S008,2024-06-01 11:03:29,2,483
76,S011,2024-06-01 12:41:58,8,508
77,S016,2024-06-01 14:10:53,8,382
78,S016,2024-06-01 11:57:04,11,372
79,S011,2024-06-01 10:36:09,6,526
80,S007,2024-06-01 12:36:34,2,462
81,S014,2024-06-01 15:41:01,7,549
82,S013,2024-06-01 15:38:19,8,253
83,S014,2024-06-01 14:28:57,9,529
84,S014,2024-06-01 12:31:42,8,264
85,S006,01/06/2024 16:12:34,8,315
86,S013,2024-06-01 13:42:05,10,538
87,S015,2024-06-01 11:53:20,3,275
88,S013,2024-06-01 11:50:05,5,465
89,S002,2024-06-01 13:39:49,6,364
90,S001,2024-06-01 14:43:39,4,352
91,S004,2024-06-01 12:51:16,10,361
92,S004,2024-06-01 10:51:01,3,409
93,S013,2024-06-01 10:33:44,7,351
94,S010,2024-06-01 14:26:36,11,311
95,S014,2024-06-01 10:29:41,11,439
96,S016,2024-06-01 15:52:40,2,471
97,S005,2024-06-01 14:04:41,7,340
98,S016,2024-06-01 14:38:37,8,473
99,S003,2024-06-01 11:47:29,5,480
100,S011,2024-06-01 14:48:11,1,503
101,S009,2024-06-01 15:02:44,6,393
