date_id,full_date,day,month,month_name,quarter,year,day_of_week,is_weekend
20240106,2024-01-06,6,1,January,1,2024,Saturday,True
20240107,2024-01-07,7,1,January,1,2024,Sunday,True
20240108,2024-01-08,8,1,January,1,2024,Monday,False
20240109,2024-01-09,9,1,January,1,2024,Tuesday,False
20240110,2024-01-10,10,1,January,1,2024,Wednesday,False
20240111,2024-01-11,11,1,January,1,2024,Thursday,False
20240112,2024-01-12,12,1,January,1,2024,Friday,False
20240113,2024-01-13,13,1,January,1,2024,Saturday,True
20240114,2024-01-14,14,1,January,1,2024,Sunday,True
20240115,2024-01-15,15,1,January,1,2024,Monday,False
20240116,2024-01-16,16,1,January,1,2024,Tuesday,False
20240117,2024-01-17,17,1,January,1,2024,Wednesday,False
20240118,2024-01-18,18,1,January,1,2024,Thursday,False
20240119,2024-01-19,19,1,January,1,2024,Friday,False
20240120,2024-01-20,20,1,January,1,2024,Saturday,True
20240121,2024-01-21,21,1,January,1,2024,Sunday,True
20240122,2024-01-22,22,1,January,1,2024,Monday,False
20240123,2024-01-23,23,1,January,1,2024,Tuesday,False
20240124,2024-01-24,24,1,January,1,2024,Wednesday,False
20240125,2024-01-25,25,1,January,1,2024,Thursday,False
20240126,2024-01-26,26,1,January,1,2024,Friday,False
20240127,2024-01-27,27,1,January,1,2024,Saturday,True
20240128,2024-01-28,28,1,January,1,2024,Sunday,True
20240129,2024-01-29,29,1,January,1,2024,Monday,False
20240130,2024-01-30,30,1,January,1,2024,Tuesday,False
20240131,2024-01-31,31,1,January,1,2024,Wednesday,False
20240201,2024-02-01,1,2,February,1,2024,Thursday,False
20240202,2024-02-02,2,2,February,1,2024,Friday,False
20240203,2024-02-03,3,2,February,1,2024,Saturday,True
20240204,2024-02-04,4,2,February,1,2024,Sunday,True
20240205,2024-02-05,5,2,February,1,2024,Monday,False
20240206,2024-02-06,6,2,February,1,2024,Tuesday,False
20240207,2024-02-07,7,2,February,1,2024,Wednesday,False
20240208,2024-02-08,8,2,February,1,2024,Thursday,False
20240209,2024-02-09,9,2,February,1,2024,Friday,False
20240210,2024-02-10,10,2,February,1,2024,Saturday,True
20240211,2024-02-11,11,2,February,1,2024,Sunday,True
20240212,2024-02-12,12,2,February,1,2024,Monday,False
20240213,2024-02-13,13,2,February,1,2024,Tuesday,False
20240214,2024-02-14,14,2,February,1,2024,Wednesday,False
20240215,2024-02-15,15,2,February,1,2024,Thursday,False
20240216,2024-02-16,16,2,February,1,2024,Friday,False
20240217,2024-02-17,17,2,February,1,2024,Saturday,True
20240218,2024-02-18,18,2,February,1,2024,Sunday,True
20240219,2024-02-19,19,2,February,1,2024,Monday,False
20240220,2024-02-20,20,2,February,1,2024,Tuesday,False
20240221,2024-02-21,21,2,February,1,2024,Wednesday,False
20240222,2024-02-22,22,2,February,1,2024,Thursday,False
20240223,2024-02-23,23,2,February,1,2024,Friday,False
20240224,2024-02-24,24,2,February,1,2024,Saturday,True
20240225,2024-02-25,25,2,February,1,2024,Sunday,True
20240226,2024-02-26,26,2,February,1,2024,Monday,False
20240227,2024-02-27,27,2,February,1,2024,Tuesday,False
20240228,2024-02-28,28,2,February,1,2024,Wednesday,False
20240229,2024-02-29,29,2,February,1,2024,Thursday,False
20240301,2024-03-01,1,3,March,1,2024,Friday,False
20240302,2024-03-02,2,3,March,1,2024,Saturday,True
20240303,2024-03-03,3,3,March,1,2024,Sunday,True
20240304,2024-03-04,4,3,March,1,2024,Monday,False
20240305,2024-03-05,5,3,March,1,2024,Tuesday,False
20240306,2024-03-06,6,3,March,1,2024,Wednesday,False
20240307,2024-03-07,7,3,March,1,2024,Thursday,False
20240308,2024-03-08,8,3,March,1,2024,Friday,False
20240309,2024-03-09,9,3,March,1,2024,Saturday,True
20240310,2024-03-10,10,3,March,1,2024,Sunday,True
20240311,2024-03-11,11,3,March,1,2024,Monday,False
20240312,2024-03-12,12,3,March,1,2024,Tuesday,False
20240313,2024-03-13,13,3,March,1,2024,Wednesday,False
20240314,2024-03-14,14,3,March,1,2024,Thursday,False
20240315,2024-03-15,15,3,March,1,2024,Friday,False
20240316,2024-03-16,16,3,March,1,2024,Saturday,True
20240317,2024-03-17,17,3,March,1,2024,Sunday,True
20240318,2024-03-18,18,3,March,1,2024,Monday,False
20240319,2024-03-19,19,3,March,1,2024,Tuesday,False
20240320,2024-03-20,20,3,March,1,2024,Wednesday,False
20240321,2024-03-21,21,3,March,1,2024,Thursday,False
20240322,2024-03-22,22,3,March,1,2024,Friday,False
20240323,2024-03-23,23,3,March,1,2024,Saturday,True
20240324,2024-03-24,24,3,March,1,2024,Sunday,True
20240325,2024-03-25,25,3,March,1,2024,Monday,False
20240326,2024-03-26,26,3,March,1,2024,Tuesday,False
20240327,2024-03-27,27,3,March,1,2024,Wednesday,False
20240328,2024-03-28,28,3,March,1,2024,Thursday,False
20240329,2024-03-29,29,3,March,1,2024,Friday,False
20240330,2024-03-30,30,3,March,1,2024,Saturday,True
20240331,2024-03-31,31,3,March,1,2024,Sunday,True
20240401,2024-04-01,1,4,April,2,2024,Monday,False
20240402,2024-04-02,2,4,April,2,2024,Tuesday,False
20240403,2024-04-03,3,4,April,2,2024,Wednesday,False
20240404,2024-04-04,4,4,April,2,2024,Thursday,False
20240405,2024-04-05,5,4,April,2,2024,Friday,False
20240406,2024-04-06,6,4,April,2,2024,Saturday,True
20240407,2024-04-07,7,4,April,2,2024,Sunday,True
20240408,2024-04-08,8,4,April,2,2024,Monday,False
20240409,2024-04-09,9,4,April,2,2024,Tuesday,False
20240410,2024-04-10,10,4,April,2,2024,Wednesday,False
20240411,2024-04-11,11,4,April,2,2024,Thursday,False
20240412,2024-04-12,12,4,April,2,2024,Friday,False
20240413,2024-04-13,13,4,April,2,2024,Saturday,True
20240414,2024-04-14,14,4,April,2,2024,Sunday,True
20240415,2024-04-15,15,4,April,2,2024,Monday,False
20240416,2024-04-16,16,4,April,2,2024,Tuesday,False
20240417,2024-04-17,17,4,April,2,2024,Wednesday,False
20240418,2024-04-18,18,4,April,2,2024,Thursday,False
20240419,2024-04-19,19,4,April,2,2024,Friday,False
20240420,2024-04-20,20,4,April,2,2024,Saturday,True
20240421,2024-04-21,21,4,April,2,2024,Sunday,True
20240422,2024-04-22,22,4,April,2,2024,Monday,False
20240423,2024-04-23,23,4,April,2,2024,Tuesday,False
20240424,2024-04-24,24,4,April,2,2024,Wednesday,False
20240425,2024-04-25,25,4,April,2,2024,Thursday,False
20240426,2024-04-26,26,4,April,2,2024,Friday,False
20240427,2024-04-27,27,4,April,2,2024,Saturday,True
20240428,2024-04-28,28,4,April,2,2024,Sunday,True
20240429,2024-04-29,29,4,April,2,2024,Monday,False
20240430,2024-04-30,30,4,April,2,2024,Tuesday,False
20240501,2024-05-01,1,5,May,2,2024,Wednesday,False
20240502,2024-05-02,2,5,May,2,2024,Thursday,False
20240503,2024-05-03,3,5,May,2,2024,Friday,False
20240504,2024-05-04,4,5,May,2,2024,Saturday,True
20240505,2024-05-05,5,5,May,2,2024,Sunday,True
20240506,2024-05-06,6,5,May,2,2024,Monday,False
20240507,2024-05-07,7,5,May,2,2024,Tuesday,False
20240508,2024-05-08,8,5,May,2,2024,Wednesday,False
20240509,2024-05-09,9,5,May,2,2024,Thursday,False
20240510,2024-05-10,10,5,May,2,2024,Friday,False
20240511,2024-05-11,11,5,May,2,2024,Saturday,True
20240512,2024-05-12,12,5,May,2,2024,Sunday,True
20240513,2024-05-13,13,5,May,2,2024,Monday,False
20240514,2024-05-14,14,5,May,2,2024,Tuesday,False
20240515,2024-05-15,15,5,May,2,2024,Wednesday,False
20240516,2024-05-16,16,5,May,2,2024,Thursday,False
20240517,2024-05-17,17,5,May,2,2024,Friday,False
20240518,2024-05-18,18,5,May,2,2024,Saturday,True
20240519,2024-05-19,19,5,May,2,2024,Sunday,True
20240520,2024-05-20,20,5,May,2,2024,Monday,False
20240521,2024-05-21,21,5,May,2,2024,Tuesday,False
20240522,2024-05-22,22,5,May,2,2024,Wednesday,False
20240523,2024-05-23,23,5,May,2,2024,Thursday,False
20240524,2024-05-24,24,5,May,2,2024,Friday,False
20240525,2024-05-25,25,5,May,2,2024,Saturday,True
20240526,2024-05-26,26,5,May,2,2024,Sunday,True
20240527,2024-05-27,27,5,May,2,2024,Monday,False
20240528,2024-05-28,28,5,May,2,2024,Tuesday,False
20240529,2024-05-29,29,5,May,2,2024,Wednesday,False
20240530,2024-05-30,30,5,May,2,2024,Thursday,False
20240531,2024-05-31,31,5,May,2,2024,Friday,False
20240601,2024-06-01,1,6,June,2,2024,Saturday,True
20240602,2024-06-02,2,6,June,2,2024,Sunday,True
20240603,2024-06-03,3,6,June,2,2024,Monday,False
20240604,2024-06-04,4,6,June,2,2024,Tuesday,False
20240605,2024-06-05,5,6,June,2,2024,Wednesday,False
20240606,2024-06-06,6,6,June,2,2024,Thursday,False
20240607,2024-06-07,7,6,June,2,2024,Friday,False
20240608,2024-06-08,8,6,June,2,2024,Saturday,True
20240609,2024-06-09,9,6,June,2,2024,Sunday,True
20240610,2024-06-10,10,6,June,2,2024,Monday,False
20240611,2024-06-11,11,6,June,2,2024,Tuesday,False
20240612,2024-06-12,12,6,June,2,2024,Wednesday,False
20240613,2024-06-13,13,6,June,2,2024,Thursday,False
20240614,2024-06-14,14,6,June,2,2024,Friday,False
20240615,2024-06-15,15,6,June,2,2024,Saturday,True
20240616,2024-06-16,16,6,June,2,2024,Sunday,True
20240617,2024-06-17,17,6,June,2,2024,Monday,False
20240618,2024-06-18,18,6,June,2,2024,Tuesday,False
20240619,2024-06-19,19,6,June,2,2024,Wednesday,False
