sale_id,date_id,store_id,flavour_id,price_in_pence
1,20240601,S004,1,390
2,20240601,S003,10,466
3,20240601,S001,9,351
4,20240601,S009,1,331
5,20240601,S011,2,297
6,20240601,S002,12,485
7,20240601,S012,10,348
8,20240601,S003,4,301
9,20240601,S012,6,357
10,20240601,S006,9,375
11,20240601,S008,11,416
12,20240601,S011,7,387
13,20240601,S011,4,505
14,20240601,S005,4,537
15,20240601,S013,6,362
16,20240601,S002,2,328
18,20240601,S004,11,524
19,20240601,S014,3,482
20,20240601,S006,9,304
21,20240601,S007,3,441
22,20240601,S001,10,415
23,20240601,S010,4,279
24,20240601,S016,2,522
25,20240601,S006,5,520
26,20240601,S007,12,409
27,20240106,S015,2,376
28,20240601,S008,10,362
29,20240601,S002,6,286
30,20240601,S005,12,542
31,20240601,S007,2,299
32,20240601,S002,11,300
33,20240601,S008,4,347
34,20240601,S008,2,476
35,20240601,S001,2,371
36,20240601,S002,3,444
37,20240601,S015,5,466
38,20240601,S016,3,347
39,20240601,S011,1,275
40,20240601,S002,9,291
41,20240601,S008,7,311
42,20240601,S003,7,548
43,20240601,S011,4,385
44,20240601,S003,1,484
45,20240601,S007,9,385
46,20240601,S012,5,330
47,20240601,S001,11,533
48,20240601,S009,2,304
49,20240601,S011,4,385
50,20240106,S003,11,466
51,20240601,S005,11,384
52,20240601,S001,2,288
53,20240106,S012,10,532
54,20240601,S012,1,433
55,20240601,S014,10,329
56,20240601,S006,7,262
57,20240601,S008,5,331
58,20240601,S016,4,352
59,20240601,S008,4,262
60,20240601,S009,6,510
61,20240106,S004,5,341
62,20240601,S014,6,410
63,20240601,S007,5,272
64,20240601,S007,6,470
65,20240601,S004,12,403
66,20240601,S010,9,315
67,20240601,S006,10,541
68,20240601,S007,7,546
69,20240601,S007,9,492
70,20240601,S010,9,421
71,20240601,S007,3,262
72,20240601,S015,7,544
73,20240601,S005,11,252
74,20240601,S014,4,340
75,20240601,S008,2,483
76,20240601,S011,8,508
77,20240601,S016,8,382
78,20240601,S016,11,372
79,20240601,S011,6,526
80,20240601,S007,2,462
81,20240601,S014,7,549
82,20240601,S013,8,253
83,20240601,S014,9,529
84,20240601,S014,8,264
85,20240106,S006,8,315
86,20240601,S013,10,538
87,20240601,S015,3,275
88,20240601,S013,5,465
89,20240601,S002,6,364
90,20240601,S001,4,352
91,20240601,S004,10,361
92,20240601,S004,3,409
93,20240601,S013,7,351
94,20240601,S010,11,311
95,20240601,S014,11,439
96,20240601,S016,2,471
97,20240601,S005,7,340
98,20240601,S016,8,473
99,20240601,S003,5,480
100,20240601,S011,1,503
101,20240601,S009,6,393
102,20240601,S007,2,373
103,20240601,S016,11,501
104,20240601,S008,5,547
105,20240601,S011,6,482
106,20240601,S011,2,524
107,20240601,S016,5,518
108,20240601,S012,3,404
109,20240601,S002,9,399
110,20240601,S004,1,543
111,20240601,S002,5,494
112,20240601,S002,3,326
113,20240601,S014,10,365
114,20240601,S014,5,541
115,20240601,S007,11,358
116,20240601,S003,3,251
117,20240601,S008,5,394
118,20240601,S009,11,351
119,20240601,S009,3,286
120,20240601,S010,8,313
121,20240601,S016,8,291
122,20240601,S009,1,296
123,20240601,S001,11,387
124,20240601,S015,5,342
125,20240601,S003,8,428
